Function	Enzyme_EC	KO	gene	gene2	gene3
 protein transport protein SEC13		K14004	SEC13		
 protein transport protein SEC13		K14004	SEC13		
 protein transport protein SEC13		K14004	SEC13		
 protein transport protein SEC13		K14004	SEC13		
 COPII coat assembly protein SEC16		K20353	SEC16		
 Rab guanine nucleotide exchange factor SEC2		K19940	SEC2		
 protein transport protein SEC20		K08497	SEC20		
 protein transport protein SEC20		K08497	SEC20		
 vesicle transport protein SEC22		K08517	SEC22		
 vesicle transport protein SEC22		K08517	SEC22		
 vesicle transport protein SEC22		K08517	SEC22		
 vesicle transport protein SEC22		K08517	SEC22		
 SEC22 vesicle trafficking protein A/C		K08520	SEC22A_C		
 protein transport protein SEC23		K14006	SEC23		
 protein transport protein SEC23		K14006	SEC23		
 protein transport protein SEC24		K14007	SEC24		
 protein transport protein SEC24		K14007	SEC24		
 protein transport protein SEC31		K14005	SEC31		
 protein transport protein SEC31		K14005	SEC31		
 protein transport protein SEC39		K20475	SEC39	DSL3	
 protein transport protein SEC61 subunit alpha		K10956	SEC61A		
 protein transport protein SEC61 subunit alpha		K10956	SEC61A		
 protein transport protein SEC61 subunit alpha		K10956	SEC61A		
 protein transport protein SEC61 subunit alpha		K10956	SEC61A		
 protein transport protein SEC61 subunit alpha		K10956	SEC61A		
 protein transport protein SEC61 subunit beta		K09481	SEC61B	SBH2	
 protein transport protein SEC61 subunit beta		K09481	SEC61B	SBH2	
 protein transport protein SEC61 subunit beta		K09481	SEC61B	SBH2	
 protein transport protein SEC61 subunit beta		K09481	SEC61B	SBH2	
 protein transport protein SEC61 subunit beta		K09481	SEC61B	SBH2	
 protein transport protein SEC61 subunit gamma and related proteins		K07342	SEC61G	SSS1	
 protein transport protein SEC61 subunit gamma and related proteins		K07342	SEC61G	SSS1	
 protein transport protein SEC61 subunit gamma and related proteins		K07342	SEC61G	SSS1	
 protein transport protein SEC61 subunit gamma and related proteins		K07342	SEC61G	SSS1	
 protein transport protein SEC61 subunit gamma and related proteins		K07342	SEC61G	SSS1	
 translocation protein SEC62		K12275	SEC62		
 translocation protein SEC62		K12275	SEC62		
 translocation protein SEC62		K12275	SEC62		
 translocation protein SEC63		K09540	SEC63	DNAJC23	
 translocation protein SEC63		K09540	SEC63	DNAJC23	
 translocation protein SEC63		K09540	SEC63	DNAJC23	
 translocation protein SEC63		K09540	SEC63	DNAJC23	
 translocation protein SEC66		K12273	SEC66		
 translocation protein SEC72		K12274	SEC72		
 protein transport protein SEC9		K19950	SEC9		
 preprotein translocase subunit SecA		K03070	secA		
 preprotein translocase subunit SecA		K03070	secA		
 preprotein translocase subunit SecA		K03070	secA		
 preprotein translocase subunit SecA		K03070	secA		
 preprotein translocase subunit SecB		K03071	secB		
 preprotein translocase subunit SecB		K03071	secB		
 preprotein translocase subunit SecB		K03071	secB		
 preprotein translocase subunit SecB		K03071	secB		
 preprotein translocase subunit SecB		K03071	secB		
 preprotein translocase subunit SecD		K03072	secD		
 preprotein translocase subunit SecD		K03072	secD		
 preprotein translocase subunit SecD		K03072	secD		
 SecD/SecF fusion protein		K12257	secDF		
 SecD/SecF fusion protein		K12257	secDF		
 SecD/SecF fusion protein		K12257	secDF		
 SecD/SecF fusion protein		K12257	secDF		
 preprotein translocase subunit SecE		K03073	secE		
 preprotein translocase subunit SecE		K03073	secE		
 preprotein translocase subunit SecE		K03073	secE		
 preprotein translocase subunit SecE		K03073	secE		
 preprotein translocase subunit SecF		K03074	secF		
 preprotein translocase subunit SecF		K03074	secF		
 preprotein translocase subunit SecF		K03074	secF		
 preprotein translocase subunit SecG		K03075	secG		
 preprotein translocase subunit SecG		K03075	secG		
 preprotein translocase subunit SecG		K03075	secG		
 preprotein translocase subunit SecG		K03075	secG		
 preprotein translocase subunit SecG		K22228	secG	sec61beta	
 selenocysteine insertion sequence-binding protein 2		K19539	SECISBP2	SBP2	
 selenocysteine insertion sequence-binding protein 2		K19539	SECISBP2	SBP2	
 secretion monitor		K13301	secM		
 secretion monitor		K13301	secM		
 secretion monitor		K13301	secM		
 preprotein translocase subunit SecY		K03076	secY		
 preprotein translocase subunit SecY		K03076	secY		
 preprotein translocase subunit SecY		K03076	secY		
 preprotein translocase subunit SecY		K03076	secY		
 nucleoporin SEH1		K14299	SEH1		
 nucleoporin SEH1		K14299	SEH1		
 nucleoporin SEH1		K14299	SEH1		
 SEL1 protein		K14026	SEL1	SEL1L	
 L-seryl-tRNA(Ser) seleniumtransferase 	2.9.1.1	K01042	selA		
 L-seryl-tRNA(Ser) seleniumtransferase 	2.9.1.1	K01042	selA		
 selenocysteine-specific elongation factor		K03833	selB	EEFSEC	
 selenide, water dikinase 	2.7.9.3	K01008	selD	SEPHS	
 selenide, water dikinase 	2.7.9.3	K01008	selD	SEPHS	
 selectin, endothelial cell		K06494	SELE	CD62E	
 selectin, endothelial cell		K06494	SELE	CD62E	
 selectin, endothelial cell		K06494	SELE	CD62E	
 selectin, endothelial cell		K06494	SELE	CD62E	
 selectin, endothelial cell		K06494	SELE	CD62E	
 selectin, endothelial cell		K06494	SELE	CD62E	
 selectin, endothelial cell		K06494	SELE	CD62E	
 selectin, endothelial cell		K06494	SELE	CD62E	
 selectin, endothelial cell		K06494	SELE	CD62E	
 selenium-binding protein 1		K17285	SELENBP1		
 thioredoxin reductase-like selenoprotein T		K22366	SELENOT		
 selectin, lymphocyte		K06495	SELL	CD62L	
 selectin, lymphocyte		K06495	SELL	CD62L	
 selectin, lymphocyte		K06495	SELL	CD62L	
 selectin, lymphocyte		K06495	SELL	CD62L	
 selectin, lymphocyte		K06495	SELL	CD62L	
 selectin, platele		K06496	SELP	CD62P	
 selectin, platele		K06496	SELP	CD62P	
 selectin, platele		K06496	SELP	CD62P	
 selectin, platele		K06496	SELP	CD62P	
 selectin, platele		K06496	SELP	CD62P	
 selectin, platele		K06496	SELP	CD62P	
 selectin, platele		K06496	SELP	CD62P	
 selectin P ligand		K06544	SELPLG	CD162	
 selectin P ligand		K06544	SELPLG	CD162	
 selectin P ligand		K06544	SELPLG	CD162	
 selenoprotein S		K14025	SELS	VIMP	
 tRNA 2-selenouridine synthase 	2.9.1.-	K06917	selU		
 semaphorin 3		K06840	SEMA3		
 semaphorin 4		K06521	SEMA4	CD100	
 semaphorin 4		K06521	SEMA4	CD100	
 semaphorin 5		K06841	SEMA5		
 semaphorin 6		K06842	SEMA6		
 semaphorin 7		K06529	SEMA7	CD108	
 semaphorin 7		K06529	SEMA7	CD108	
 tRNA-splicing endonuclease subunit Sen15, fungi type		K15325	SEN15		
 sentrin-specific protease 1 	3.4.22.68	K08592	SENP1		
 sentrin-specific protease 1 	3.4.22.68	K08592	SENP1		
 sentrin-specific protease 2 (axin associating molecule) 	3.4.22.68	K03345	SENP2	AXAM2	
 sentrin-specific protease 2 (axin associating molecule) 	3.4.22.68	K03345	SENP2	AXAM2	
 sentrin-specific protease 2 (axin associating molecule) 	3.4.22.68	K03345	SENP2	AXAM2	
 sentrin-specific protease 2 (axin associating molecule) 	3.4.22.68	K03345	SENP2	AXAM2	
 sentrin-specific protease 2 (axin associating molecule) 	3.4.22.68	K03345	SENP2	AXAM2	
 sentrin-specific protease 3 	3.4.22.68	K08593	SENP3		
 sentrin-specific protease 3 	3.4.22.68	K08593	SENP3		
 sentrin-specific protease 3 	3.4.22.68	K08593	SENP3		
 sentrin-specific protease 5 	3.4.22.68	K08594	SENP5		
 sentrin-specific protease 5 	3.4.22.68	K08594	SENP5		
 sentrin-specific protease 6 	3.4.22.68	K08595	SENP6		
 sentrin-specific protease 6 	3.4.22.68	K08595	SENP6		
 sentrin-specific protease 7 	3.4.22.68	K08596	SENP7		
 sentrin-specific protease 7 	3.4.22.68	K08596	SENP7		
 sentrin-specific protease 8 	3.4.22.68	K08597	SENP8	NEDP1	
 sentrin-specific protease 8 	3.4.22.68	K08597	SENP8	NEDP1	
 two-component system, OmpR family, sensor histidine kinase SenX3 	2.7.13.3	K07768	senX3		
 two-component system, OmpR family, sensor histidine kinase SenX3 	2.7.13.3	K07768	senX3		
 two-component system, OmpR family, sensor histidine kinase SenX3 	2.7.13.3	K07768	senX3		
 protein sepa-1		K22261	SEPA1		
 Sep-tRNA:Cys-tRNA synthetase 	2.5.1.73	K06868	sepcysS		
 Sep-tRNA:Cys-tRNA synthetase 	2.5.1.73	K06868	sepcysS		
 cell division inhibitor SepF		K09772	sepF		
 selenoprotein N		K19874	SEPN1		
 O-phosphoseryl-tRNA synthetase 	6.1.1.27	K07587	sepRS		
 O-phosphoseryl-tRNA synthetase 	6.1.1.27	K07587	sepRS		
 O-phosphoseryl-tRNA synthetase 	6.1.1.27	K07587	sepRS		
 O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase 	2.9.1.2	K03341	SEPSECS		
 O-phospho-L-seryl-tRNASec:L-selenocysteinyl-tRNA synthase 	2.9.1.2	K03341	SEPSECS		
 septin 1		K13737	SEPT1		
 septin 1		K13737	SEPT1		
 septin 10		K16940	SEPT10		
 septin 14		K16941	SEPT14		
 septin 2		K16942	SEPT2		
 septin 2		K16942	SEPT2		
 septin 2		K16942	SEPT2		
 septin 2		K16942	SEPT2		
 septin 3/9/12		K16938	SEPT3_9_12		
 septin 3/9/12		K16938	SEPT3_9_12		
 septin 3/9/12		K16938	SEPT3_9_12		
 septin 4		K16943	SEPT4		
 septin 4		K16943	SEPT4		
 septin 4		K16943	SEPT4		
 septin 4		K16943	SEPT4		
 septin 5		K04557	SEPT5	PNUTL1	
 septin 5		K04557	SEPT5	PNUTL1	
 septin 5		K04557	SEPT5	PNUTL1	
 septin 6/8/11		K16939	SEPT6_8_11		
 septin 6/8/11		K16939	SEPT6_8_11		
 septin 6/8/11		K16939	SEPT6_8_11		
 septin 7		K16944	SEPT7	CDC3	
 septin 7		K16944	SEPT7	CDC3	
 septin 7		K16944	SEPT7	CDC3	
 negative modulator of initiation of replication		K03645	seqA		
 negative modulator of initiation of replication		K03645	seqA		
 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase 	1.1.1.95 1.1.1.399	K00058	serA	PHGDH	
 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase 	1.1.1.95 1.1.1.399	K00058	serA	PHGDH	
 D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase 	1.1.1.95 1.1.1.399	K00058	serA	PHGDH	
 putative phosphoserine phosphatase / 1-acylglycerol-3-phosphate O-acyltransferase 	3.1.3.3 2.3.1.51	K15781	serB-plsC		
 phosphoserine phosphatase 	3.1.3.3	K01079	serB	PSPH	
 phosphoserine phosphatase 	3.1.3.3	K01079	serB	PSPH	
 phosphoserine phosphatase 	3.1.3.3	K01079	serB	PSPH	
 plasminogen activator inhibitor 1 RNA-binding protein		K13199	SERBP1		
 phosphoserine aminotransferase 	2.6.1.52	K00831	serC	PSAT1	
 phosphoserine aminotransferase 	2.6.1.52	K00831	serC	PSAT1	
 phosphoserine aminotransferase 	2.6.1.52	K00831	serC	PSAT1	
 phosphoserine aminotransferase 	2.6.1.52	K00831	serC	PSAT1	
 secretion-regulating guanine nucleotide exchange factor		K15421	SERGEF		
 somatic embryogenesis receptor kinase 1 	2.7.10.1 2.7.11.1	K13418	SERK1		CASL
 somatic embryogenesis receptor kinase 4 	2.7.10.1 2.7.11.1	K13417	SERK4	BKK1	
 somatic embryogenesis receptor kinase 4 	2.7.10.1 2.7.11.1	K13417	SERK4	BKK1	
 serpin peptidase inhibitor, clade A		K04525	SERPINA		
 alpha-1-antitrypsin		K03984	SERPINA1	AAT	
 alpha-1-antitrypsin		K03984	SERPINA1	AAT	
 protein C inhibitor		K03913	SERPINA5	PCI	
 protein C inhibitor		K03913	SERPINA5	PCI	
 thyroxine-binding globulin		K20734	SERPINA7	TBG	
 serpin B		K13963	SERPINB		
 serpin B11/12		K13966	SERPINB11_12		
 plasminogen activator inhibitor 2		K19821	SERPINB2	PAI2	
 serpin B5		K10139	SERPINB5		
 serpin B5		K10139	SERPINB5		
 serpin B7		K13964	SERPINB7		
 serpin B8		K13965	SERPINB8		
 antithrombin III		K03911	SERPINC1	AT3	
 antithrombin III		K03911	SERPINC1	AT3	
 antithrombin III		K03911	SERPINC1	AT3	
 heparin cofactor II		K03912	SERPIND1	HCF2	
 heparin cofactor II		K03912	SERPIND1	HCF2	
 heparin cofactor II		K03912	SERPIND1	HCF2	
 plasminogen activator inhibitor 1		K03982	SERPINE1	PAI1	
 plasminogen activator inhibitor 1		K03982	SERPINE1	PAI1	
 plasminogen activator inhibitor 1		K03982	SERPINE1	PAI1	
 plasminogen activator inhibitor 1		K03982	SERPINE1	PAI1	
 plasminogen activator inhibitor 1		K03982	SERPINE1	PAI1	
 plasminogen activator inhibitor 1		K03982	SERPINE1	PAI1	
 plasminogen activator inhibitor 1		K03982	SERPINE1	PAI1	
 plasminogen activator inhibitor 1		K03982	SERPINE1	PAI1	
 plasminogen activator inhibitor 1		K03982	SERPINE1	PAI1	
 plasminogen activator inhibitor 1		K03982	SERPINE1	PAI1	
 glia-derived nexin		K16643	SERPINE2		
 pigment epithelium-derived factor		K19614	SERPINF1	PEDF	
 alpha-2-antiplasmin		K03983	SERPINF2	AAP	
 C1 inhibitor		K04001	SERPING1	C1INH	
 C1 inhibitor		K04001	SERPING1	C1INH	
 C1 inhibitor		K04001	SERPING1	C1INH	
 serpin peptidase inhibitor, clade H, member 1		K09501	SERPINH1	HSP47	
 serpin peptidase inhibitor, clade H, member 1		K09501	SERPINH1	HSP47	
 sesamin methylene transferase 	2.1.5.1	K22578	sesA		
 sestrin 1/3		K10141	SESN1_3		
 sestrin 1/3		K10141	SESN1_3		
 sestrin 2		K20394	SESN2		
 sestrin 2		K20394	SESN2		
 sestrin 2		K20394	SESN2		
 superantigen-like protein		K11042	set		
 template-activating factor I		K11290	SET	TAF1	
 enterotoxin Set1A		K11011	set1A		
 enterotoxin Set1A		K11011	set1A		
 enterotoxin Set1B		K11012	set1B		
 enterotoxin Set1B		K11012	set1B		
 histone-lysine N-methyltransferase SETD1 	2.1.1.43	K11422	SETD1	SET1	
 histone-lysine N-methyltransferase SETD1 	2.1.1.43	K11422	SETD1	SET1	
 histone-lysine N-methyltransferase SETD2 	2.1.1.43	K11423	SETD2	SET2	
 histone-lysine N-methyltransferase SETD2 	2.1.1.43	K11423	SETD2	SET2	
 histone-lysine N-methyltransferase SETD3 	2.1.1.43	K19199	SETD3		
 histone-lysine N-methyltransferase SETD3 	2.1.1.43	K19199	SETD3		
 N-lysine methyltransferase SETD6 	2.1.1.-	K05302	SETD6		
 histone-lysine N-methyltransferase SETD7 	2.1.1.43	K11431	SETD7		
 histone-lysine N-methyltransferase SETD7 	2.1.1.43	K11431	SETD7		
 histone-lysine N-methyltransferase SETD7 	2.1.1.43	K11431	SETD7		
 histone-lysine N-methyltransferase SETD8 	2.1.1.43	K11428	SETD8		
 histone-lysine N-methyltransferase SETD8 	2.1.1.43	K11428	SETD8		
 histone-lysine N-methyltransferase SETDB1 	2.1.1.43	K11421	SETDB1		
 histone-lysine N-methyltransferase SETDB1 	2.1.1.43	K11421	SETDB1		
 histone-lysine N-methyltransferase SETDB1 	2.1.1.43	K11421	SETDB1		
 histone-lysine N-methyltransferase SETDB2 	2.1.1.43	K18494	SETDB2		
 histone-lysine N-methyltransferase SETDB2 	2.1.1.43	K18494	SETDB2		
 histone-lysine N-methyltransferase SETMAR 	2.1.1.43	K11433	SETMAR		
 histone-lysine N-methyltransferase SETMAR 	2.1.1.43	K11433	SETMAR		
 senataxin 	3.6.4.-	K10706	SETX	ALS4	
 protein SEY1 	3.6.5.-	K22698	SEY1		
 splicing factor 1		K13095	SF1		
 splicing factor 3A subunit 1		K12825	SF3A1	SAP114	
 splicing factor 3A subunit 1		K12825	SF3A1	SAP114	
 splicing factor 3A subunit 2		K12826	SF3A2	SAP62	
 splicing factor 3A subunit 2		K12826	SF3A2	SAP62	
 splicing factor 3A subunit 3		K12827	SF3A3	SAP61	
 splicing factor 3A subunit 3		K12827	SF3A3	SAP61	
 splicing factor 3B subunit 1		K12828	SF3B1	SAP155	
 splicing factor 3B subunit 1		K12828	SF3B1	SAP155	
 splicing factor 3B subunit 1		K12828	SF3B1	SAP155	
 pre-mRNA branch site protein p14		K12833	SF3B14		
 pre-mRNA branch site protein p14		K12833	SF3B14		
 splicing factor 3B subunit 2		K12829	SF3B2	SAP145	
 splicing factor 3B subunit 2		K12829	SF3B2	SAP145	
 splicing factor 3B subunit 3		K12830	SF3B3	SAP130	
 splicing factor 3B subunit 3		K12830	SF3B3	SAP130	
 splicing factor 3B subunit 3		K12830	SF3B3	SAP130	
 splicing factor 3B subunit 3		K12830	SF3B3	SAP130	
 splicing factor 3B subunit 4		K12831	SF3B4	SAP49	
 splicing factor 3B subunit 4		K12831	SF3B4	SAP49	
 splicing factor 3B subunit 5		K12832	SF3B5	SF3B10	
 splicing factor 3B subunit 5		K12832	SF3B5	SF3B10	
 splicing factor 4		K13096	SF4		
 sigma-54 dependent transcriptional regulator		K11914	sfa2		
 sigma-54 dependent transcriptional regulator		K11914	sfa2		
 sigma-54 dependent transcriptional regulator		K11917	sfa3		
 sigma-54 dependent transcriptional regulator		K11917	sfa3		
 fibronectin-binding protein 1		K13734	sfb1		
 chromatin structure-remodeling complex subunit SFH1		K11770	SFH1		
 chromatin structure-remodeling complex subunit SFH1		K11770	SFH1		
 phosphatidylinositol transfer protein SFH5		K19996	SFH5		
 protein SFI1		K16489	SFI1		
 type 1 fimbrial protein		K07352	sfmA		
 fimbrial chaperone protein		K07353	sfmC		
 outer membrane usher protein		K07354	sfmD		
 3-methyl-L-tyrosine peroxygenase 	1.11.2.5	K20208	sfmD		
 fimbrial-like protein		K07355	sfmF		
 fimbrial protein		K07356	sfmH		
 L-tyrosine C(3)-methyltransferase 	2.1.1.304	K21460	sfmM2		
 stratifin		K06644	SFN		
 stratifin		K06644	SFN		
 stratifin		K06644	SFN		
 stratifin		K06644	SFN		
 dimethylsulfone monooxygenase 	1.14.14.35	K17228	sfnG		
 transcription factor SFP1		K19487	SFP1		
 splicing factor, proline- and glutamine-rich		K13219	SFPQ	PSF	
 splicing factor, proline- and glutamine-rich		K13219	SFPQ	PSF	
 splicing factor, proline- and glutamine-rich		K13219	SFPQ	PSF	
 Swi5-dependent recombination DNA repair protein 1		K10992	SFR1		
 galactolipid galactosyltransferase 	2.4.1.184	K21362	SFR2		
 galactolipid galactosyltransferase 	2.4.1.184	K21362	SFR2		
 secreted frizzled-related protein 1		K02166	SFRP1		
 secreted frizzled-related protein 2		K02176	SFRP2		
 secreted frizzled-related protein 4		K02185	SFRP4		
 secreted frizzled-related protein 5		K02222	SFRP5		
 splicing factor, arginine/serine-rich 1		K12890	SFRS1	ASF	
 splicing factor, arginine/serine-rich 1		K12890	SFRS1	ASF	
 splicing factor, arginine/serine-rich 1		K12890	SFRS1	ASF	
 splicing factor, arginine/serine-rich 1		K12890	SFRS1	ASF	
 splicing factor, arginine/serine-rich 11		K12899	SFRS11		
 splicing factor, arginine/serine-rich 12		K13165	SFRS12		
 splicing factor, arginine/serine-rich 14		K13166	SFRS14		
 splicing factor, arginine/serine-rich 15		K13167	SFRS15	SCAF4	
 splicing factor, arginine/serine-rich 15		K13167	SFRS15	SCAF4	
 splicing factor, arginine/serine-rich 16		K13168	SFRS16		
 splicing factor, arginine/serine-rich 17		K13169	SFRS17		
 splicing factor, arginine/serine-rich 18		K13170	SFRS18		
 splicing factor, arginine/serine-rich 2		K12891	SFRS2		
 splicing factor, arginine/serine-rich 2		K12891	SFRS2		
 splicing factor, arginine/serine-rich 2		K12891	SFRS2		
 splicing factor, arginine/serine-rich 3		K12892	SFRS3		
 splicing factor, arginine/serine-rich 3		K12892	SFRS3		
 splicing factor, arginine/serine-rich 3		K12892	SFRS3		
 splicing factor, arginine/serine-rich 4/5/6		K12893	SFRS4_5_6		
 splicing factor, arginine/serine-rich 4/5/6		K12893	SFRS4_5_6		
 splicing factor, arginine/serine-rich 4/5/6		K12893	SFRS4_5_6		
 splicing factor, arginine/serine-rich 7		K12896	SFRS7		
 splicing factor, arginine/serine-rich 7		K12896	SFRS7		
 splicing factor, arginine/serine-rich 7		K12896	SFRS7		
 splicing factor, arginine/serine-rich 9		K21123	SFRS9		
 splicing factor, arginine/serine-rich 9		K21123	SFRS9		
 splicing factor, arginine/serine-rich 9		K21123	SFRS9		
 sugar fermentation stimulation protein A		K06206	sfsA		
 protein transport protein SFT1		K08505	SFT1		
 protein transport protein SFT1		K08505	SFT1		
 pulmonary surfactant-associated protein A		K10067	SFTPA		
 pulmonary surfactant-associated protein A		K10067	SFTPA		
 pulmonary surfactant-associated protein A		K10067	SFTPA		
 pulmonary surfactant-associated protein A		K10067	SFTPA		
 pulmonary surfactant-associated protein D		K10068	SFTPD	SFTP4	
 pulmonary surfactant-associated protein D		K10068	SFTPD	SFTP4	
 pulmonary surfactant-associated protein D		K10068	SFTPD	SFTP4	
 glucoamylase 	3.2.1.3	K01178	SGA1		
 alpha-sarcoglycan		K12565	SGCA		
 alpha-sarcoglycan		K12565	SGCA		
 alpha-sarcoglycan		K12565	SGCA		
 alpha-sarcoglycan		K12565	SGCA		
 aminotransferase		K21326	sgcA4		
 N-methyltransferase 	2.1.1.-	K21327	sgcA5		
 glycosyltransferase 	2.4.1.-	K21187	sgcA6		
 beta-sarcoglycan		K12566	SGCB		
 beta-sarcoglycan		K12566	SGCB		
 beta-sarcoglycan		K12566	SGCB		
 beta-sarcoglycan		K12566	SGCB		
 two-component FAD-dependent monooxygenase 	1.14.14.15 1.14.14.-	K21184	sgcC	mdpC	
 (S)-beta-tyrosine adenylation enzyme 	6.2.1.-	K21182	sgcC1	mdpC1	
 peptidyl carrier protein		K21183	sgcC2	mdpC2	
 MIO-dependent L-tyrosine 2,3-aminomutase 	5.4.3.6	K21181	sgcC4	mdpC4	
 condensation enzyme		K21186	sgcC5	mdpC5	
 delta-sarcoglycan		K12563	SGCD		
 delta-sarcoglycan		K12563	SGCD		
 delta-sarcoglycan		K12563	SGCD		
 delta-sarcoglycan		K12563	SGCD		
 2-amino-4-deoxychorismate synthase 	2.6.1.86	K20159	sgcD		
 2-amino-4-deoxychorismate synthase, glutamine amidotransferase component 	2.6.1.86	K21175	sgcD1		
